drug_name,disease,dosage,min_age,max_age,allergy,side_effect_severity,effectiveness_score,severity_level,cause_keywords,alternative_drug
Metformin,Diabetes Type 2,500mg twice daily,18,80,None,2,9,MODERATE,insulin resistance high blood sugar glucose metabolism,Glipizide
Insulin Glargine,Diabetes Type 1,variable units subcutaneous,1,90,None,3,10,HIGH,autoimmune insulin deficiency ketoacidosis,NPH Insulin
Glimepiride,Diabetes Type 2,2mg once daily,18,75,Sulfa,4,8,MODERATE,sulfonylurea blood sugar lowering pancreatic stimulation,Sitagliptin
Metformin,Prediabetes,500mg once daily,18,75,None,1,8,LOW,impaired fasting glucose borderline high sugar lifestyle,Acarbose
Amoxicillin,Bacterial Infection,500mg three times daily,5,65,Penicillin,4,8,MODERATE,bacterial sepsis strep staph infection fever,Cephalexin
Azithromycin,Bacterial Infection,250mg once daily,10,70,None,3,9,MODERATE,atypical bacteria mycoplasma chlamydia respiratory,Doxycycline
Paracetamol,Viral Fever,500mg every 6 hours,1,90,None,1,8,LOW,virus influenza rhinovirus fever inflammation,Ibuprofen
Ibuprofen,Viral Fever,400mg every 8 hours,10,65,NSAID allergy,2,7,LOW,viral inflammation fever pain body ache,Naproxen
Paracetamol,Bacterial Fever,500mg every 6 hours,1,90,None,1,8,MODERATE,bacteria high fever chills rigors,Ibuprofen
Amoxicillin-Clavulanate,Bacterial Fever,625mg twice daily,10,70,Penicillin,3,9,MODERATE,bacterial superinfection strep pneumococcal,Azithromycin
Chloroquine,Malaria,500mg weekly suppressive,5,75,None,3,8,HIGH,Plasmodium falciparum vivax mosquito bite fever chills,Artemether-Lumefantrine
Artemether-Lumefantrine,Malaria,80mg-480mg twice daily 3 days,5,80,None,3,10,HIGH,falciparum malaria artemisinin combination therapy,Quinine Sulfate
Ciprofloxacin,Typhoid Fever,500mg twice daily 7-14 days,12,75,Quinolone,3,9,HIGH,Salmonella typhi contaminated food water enteric fever,Azithromycin
Azithromycin,Typhoid Fever,500mg once daily 7 days,10,80,None,2,9,HIGH,typhoid salmonella enteric fever resistant strains,Ceftriaxone
Paracetamol,Dengue Fever,500mg every 6 hours,1,90,None,1,10,HIGH,dengue virus Aedes mosquito hemorrhagic fever thrombocytopenia,ORS hydration
Cetirizine,Common Cold,10mg once daily,5,70,None,1,8,LOW,rhinovirus nasal congestion sneezing allergy histamine,Loratadine
Levocetirizine,Common Cold,5mg once daily,6,65,None,1,8,LOW,cold rhinitis sneezing nasal discharge,Fexofenadine
Oseltamivir,Influenza,75mg twice daily 5 days,13,75,None,2,9,MODERATE,influenza A B flu virus antiviral neuraminidase,Zanamivir
Paracetamol,Influenza,500mg every 6 hours,5,80,None,1,8,MODERATE,flu fever body ache myalgia systemic,Ibuprofen
Amoxicillin,Bronchitis,500mg three times daily,10,70,Penicillin,3,7,MODERATE,bacterial bronchitis productive cough purulent sputum,Azithromycin
Dextromethorphan,Bronchitis,30mg every 6-8 hours,10,70,None,1,7,LOW,dry cough irritant bronchial inflammation viral upper respiratory,Guaifenesin
Guaifenesin,Bronchitis,400mg every 4 hours,10,70,None,1,8,LOW,mucus expectorant productive wet cough,Bromhexine
Losartan,Hypertension,50mg once daily,30,85,None,3,9,MODERATE,essential hypertension renin angiotensin cardiovascular,Telmisartan
Amlodipine,Hypertension,5mg once daily,25,80,None,2,8,MODERATE,high blood pressure calcium channel blocker peripheral resistance,Nifedipine
Omeprazole,Gastritis,20mg once daily,18,80,None,2,9,LOW,H pylori gastric acid peptic ulcer GERD,Pantoprazole
Pantoprazole,Gastritis,40mg once daily,18,75,None,3,8,LOW,acid reflux GERD peptic ulcer,Esomeprazole
